label,split
2025-000,train
2025-001,train
2025-002,val
2025-003,train
2025-004,train
2025-005,train
2025-006,train
2025-007,test
2025-008,test
2025-009,train
2025-010,test
2025-011,train
2025-012,train
2025-013,val
2025-014,train
2025-015,val
2025-016,test
2025-017,test
2025-018,train
2025-019,train
2025-020,test
2025-021,val
2025-022,train
2025-023,train
2025-024,train
2025-025,train
2025-026,train
2025-027,train
2025-028,train
2025-029,train
2025-030,val
2025-031,train
2025-032,train
2025-033,train
2025-034,train
2025-035,train
2025-036,train
2025-037,train
2025-038,train
2025-039,train
2025-040,train
2025-041,train
2025-042,train
2025-043,train
2025-044,val
2025-045,train
2025-046,train
2025-047,val
2025-048,train
2025-049,test
2025-050,train
2025-051,train
2025-052,train
2025-053,train
2025-054,val
2025-055,train
2025-056,train
2025-057,val
2025-058,test
2025-059,train
2025-060,train
2025-061,test
2025-062,train
2025-063,train
2025-064,train
2025-065,train
2025-066,train
2025-067,train
2025-068,train
2025-069,train
2025-070,train
2025-071,train
2025-072,test
2025-073,train
2025-074,train
2025-075,train
2025-076,train
2025-077,test
2025-078,train
2025-079,val
2025-080,train
2025-081,train
2025-082,train
2025-083,train
2025-084,train
2025-085,train
2025-086,train
2025-087,train
2025-088,train
2025-089,train
2025-090,train
2025-091,train
2025-092,train
2025-093,test
2025-094,test
2025-095,train
2025-096,train
2025-097,train
2025-098,train
2025-099,train
2025-100,val
2025-101,train
2025-102,val
2025-103,train
2025-104,val
2025-105,train
2025-106,train
2025-107,test
2025-108,test
2025-109,val
2025-110,train
2025-111,train
2025-112,test
2025-113,train
2025-114,train
2025-115,train
2025-116,train
2025-117,val
2025-118,test
2025-119,train
2025-120,train
2025-121,train
2025-122,train
2025-123,train
2025-124,train
2025-125,train
2025-126,val
2025-127,test
2025-128,train
2025-129,train
2025-130,val
2025-131,val
2025-132,test
2025-133,train
2025-134,test
2025-135,test
2025-136,test
2025-137,train
2025-138,train
2025-139,test
2025-140,val
2025-141,train
2025-142,val
2025-143,train
2025-144,train
2025-145,test
2025-146,train
2025-147,val
2025-148,train
2025-149,train
2025-150,test
2025-151,train
2025-152,train
2025-153,train
2025-154,train
2025-155,train
2025-156,test
2025-157,train
2025-158,train
2025-159,val
2025-160,train
2025-161,train
2025-162,train
2025-163,train
2025-164,train
2025-165,train
2025-166,train
2025-167,test
2025-168,train
2025-169,train
2025-170,val
2025-171,train
2025-172,train
