convexity,train_2023,test_2025_full,test_2025_matched
0.660-0.680,0.000000,0.004348,0.000000
0.680-0.700,0.000000,0.000000,0.000000
0.700-0.720,0.000000,0.008696,0.000000
0.720-0.740,0.000000,0.004348,0.000000
0.740-0.760,0.000000,0.008696,0.000000
0.760-0.780,0.000000,0.013043,0.000000
0.780-0.800,0.000000,0.021739,0.000000
0.800-0.820,0.000000,0.008696,0.000000
0.820-0.840,0.000000,0.017391,0.000000
0.840-0.860,0.000000,0.021739,0.000000
0.860-0.880,0.000000,0.047826,0.000000
0.880-0.900,0.004219,0.056522,0.014493
0.900-0.920,0.000000,0.052174,0.057971
0.920-0.940,0.004219,0.047826,0.086957
0.940-0.960,0.016878,0.086957,0.086957
0.960-0.980,0.147679,0.347826,0.347826
0.980-1.000,0.827004,0.252174,0.405797
