sphericity,train_2023,test_2025_full,test_2025_matched
0.680-0.700,0.000000,0.008696,0.000000
0.700-0.720,0.000000,0.004348,0.000000
0.720-0.740,0.000000,0.004348,0.000000
0.740-0.760,0.000000,0.008696,0.000000
0.760-0.780,0.000000,0.013043,0.000000
0.780-0.800,0.000000,0.013043,0.000000
0.800-0.820,0.000000,0.030435,0.000000
0.820-0.840,0.000000,0.034783,0.000000
0.840-0.860,0.000000,0.065217,0.000000
0.860-0.880,0.008439,0.034783,0.000000
0.880-0.900,0.008439,0.095652,0.086957
0.900-0.920,0.029536,0.113043,0.101449
0.920-0.940,0.105485,0.113043,0.217391
0.940-0.960,0.379747,0.200000,0.231884
0.960-0.980,0.447257,0.260870,0.362319
0.980-1.000,0.021097,0.000000,0.000000
