file_name,unique_id,cultivar,growing_season,year,gt_volume_ml,pred_volume_ml,chamfer_mm,precision,recall,f1,encoder_ms,latent_save_ms,decoder_ms,convex_hull_ms,exec_time_ms
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_065.ply,2025-000,Kitahime,,2025,155.1429522,129.45,4.111065,70.4,61.7,65.7,557.18,0.18,10.83,17.49,585.69
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_081.ply,2025-000,Kitahime,,2025,155.1429522,186.69,3.727325,68.0,71.4,69.7,5.78,0.09,9.58,14.95,30.42
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_097.ply,2025-000,Kitahime,,2025,155.1429522,206.37,4.221641,60.1,64.7,62.3,5.06,0.11,9.58,13.74,28.5
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_111.ply,2025-000,Kitahime,,2025,155.1429522,166.18,3.671583,70.7,70.6,70.6,5.08,0.11,9.6,12.72,27.52
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_127.ply,2025-000,Kitahime,,2025,155.1429522,200.73,4.08392,61.9,66.2,64.0,4.93,0.08,9.58,13.43,28.04
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_144.ply,2025-000,Kitahime,,2025,155.1429522,194.78,4.053226,62.8,66.9,64.8,5.32,0.08,9.57,14.96,29.94
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_158.ply,2025-000,Kitahime,,2025,155.1429522,184.58,3.731171,68.3,71.6,69.9,4.86,0.1,9.58,14.36,28.91
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_172.ply,2025-000,Kitahime,,2025,155.1429522,170.7,3.511745,73.0,74.3,73.7,5.45,0.1,9.59,12.39,27.54
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_188.ply,2025-000,Kitahime,,2025,155.1429522,166.88,3.707786,71.5,72.4,72.0,5.25,0.09,9.55,11.61,26.51
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_204.ply,2025-000,Kitahime,,2025,155.1429522,182.38,3.891751,66.1,68.6,67.3,5.34,0.08,9.58,13.48,28.49
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_217.ply,2025-000,Kitahime,,2025,155.1429522,189.46,3.846122,65.7,69.2,67.4,5.05,0.09,9.57,13.63,28.36
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_233.ply,2025-000,Kitahime,,2025,155.1429522,188.42,3.827367,66.3,69.9,68.1,5.35,0.08,9.58,14.7,29.73
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_249.ply,2025-000,Kitahime,,2025,155.1429522,181.74,3.880323,66.3,68.7,67.5,5.96,0.09,9.56,14.12,29.74
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_263.ply,2025-000,Kitahime,,2025,155.1429522,205.82,4.185144,60.3,64.9,62.5,5.28,0.09,9.56,12.37,27.31
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_277.ply,2025-000,Kitahime,,2025,155.1429522,197.42,4.044868,62.6,66.9,64.7,5.44,0.09,9.53,15.0,30.07
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_294.ply,2025-000,Kitahime,,2025,155.1429522,170.18,3.797768,69.8,70.2,70.0,5.5,0.09,9.58,11.72,26.9
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_309.ply,2025-000,Kitahime,,2025,155.1429522,201.39,4.10396,61.7,66.3,63.9,5.11,0.1,9.55,13.93,28.7
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_321.ply,2025-000,Kitahime,,2025,155.1429522,178.59,3.769968,68.0,70.7,69.3,4.9,0.09,9.56,13.03,27.59
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_337.ply,2025-000,Kitahime,,2025,155.1429522,163.29,3.71825,72.2,71.8,72.0,6.17,0.11,9.59,11.89,27.78
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_355.ply,2025-000,Kitahime,,2025,155.1429522,177.74,3.928085,66.3,68.4,67.3,6.04,0.12,9.65,14.23,30.05
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_370.ply,2025-000,Kitahime,,2025,155.1429522,190.97,3.912781,65.0,68.8,66.9,5.5,0.1,9.56,16.16,31.33
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_383.ply,2025-000,Kitahime,,2025,155.1429522,170.93,3.670148,71.8,73.8,72.8,5.74,0.11,9.61,13.69,29.16
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_400.ply,2025-000,Kitahime,,2025,155.1429522,197.84,4.052341,62.0,66.7,64.2,5.96,0.09,9.59,22.97,38.62
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_416.ply,2025-000,Kitahime,,2025,155.1429522,205.71,4.191971,61.0,65.6,63.2,5.56,0.09,9.58,13.3,28.54
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_430.ply,2025-000,Kitahime,,2025,155.1429522,197.69,4.04603,62.6,67.0,64.7,5.07,0.1,9.56,14.26,29.0
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_445.ply,2025-000,Kitahime,,2025,155.1429522,191.84,3.803298,65.2,69.5,67.3,5.77,0.1,9.6,13.19,28.67
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_463.ply,2025-000,Kitahime,,2025,155.1429522,220.51,4.466174,58.3,63.1,60.6,5.73,0.08,9.55,13.6,28.97
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_477.ply,2025-000,Kitahime,,2025,155.1429522,201.52,4.004433,62.3,67.1,64.6,5.07,0.09,9.57,13.57,28.31
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_493.ply,2025-000,Kitahime,,2025,155.1429522,219.57,4.262427,60.2,64.9,62.4,5.41,0.09,9.57,13.63,28.71
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_512.ply,2025-000,Kitahime,,2025,155.1429522,189.27,3.854582,64.8,69.2,66.9,4.98,0.1,9.56,12.66,27.31
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_525.ply,2025-000,Kitahime,,2025,155.1429522,194.48,4.05358,62.2,66.7,64.3,5.0,0.09,9.55,13.66,28.3
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_539.ply,2025-000,Kitahime,,2025,155.1429522,203.15,4.166631,60.7,65.1,62.8,5.45,0.11,9.57,13.59,28.73
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_555.ply,2025-000,Kitahime,,2025,155.1429522,188.62,3.800506,66.0,69.4,67.7,5.26,0.1,9.57,13.6,28.54
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_572.ply,2025-000,Kitahime,,2025,155.1429522,193.66,3.983772,63.4,67.7,65.5,4.95,0.08,9.56,14.11,28.71
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_586.ply,2025-000,Kitahime,,2025,155.1429522,196.3,4.070528,62.7,66.8,64.7,5.11,0.1,9.56,14.17,28.94
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_604.ply,2025-000,Kitahime,,2025,155.1429522,198.63,4.081197,62.1,66.4,64.2,5.04,0.1,9.56,14.23,28.95
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_619.ply,2025-000,Kitahime,,2025,155.1429522,176.07,3.755919,69.9,73.0,71.4,5.38,0.08,9.55,11.84,26.87
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_632.ply,2025-000,Kitahime,,2025,155.1429522,197.89,4.038616,62.2,66.8,64.5,5.27,0.09,9.56,14.25,29.18
data/3DPotatoTwin/1_rgbd/2_pcd/2025-000/2025-000_pcd_650.ply,2025-000,Kitahime,,2025,155.1429522,194.95,4.040047,62.8,67.0,64.8,5.88,0.08,9.58,14.49,30.04
data/3DPotatoTwin/1_rgbd/2_pcd/2025-001/2025-001_pcd_069.ply,2025-001,Kitahime,,2025,232.6776608,223.99,6.982537,43.3,40.1,41.6,4.95,0.09,9.57,14.98,29.61
data/3DPotatoTwin/1_rgbd/2_pcd/2025-001/2025-001_pcd_101.ply,2025-001,Kitahime,,2025,232.6776608,198.41,6.967773,45.6,39.7,42.4,5.38,0.08,9.54,14.0,29.01
data/3DPotatoTwin/1_rgbd/2_pcd/2025-001/2025-001_pcd_116.ply,2025-001,Kitahime,,2025,232.6776608,203.04,7.000982,44.5,39.1,41.7,5.18,0.09,9.57,13.5,28.35
data/3DPotatoTwin/1_rgbd/2_pcd/2025-001/2025-001_pcd_131.ply,2025-001,Kitahime,,2025,232.6776608,198.17,7.001357,45.3,39.3,42.1,5.94,0.12,9.61,14.31,29.98
data/3DPotatoTwin/1_rgbd/2_pcd/2025-001/2025-001_pcd_150.ply,2025-001,Kitahime,,2025,232.6776608,211.48,6.965333,44.8,40.4,42.5,5.84,0.1,9.59,13.16,28.7
data/3DPotatoTwin/1_rgbd/2_pcd/2025-001/2025-001_pcd_170.ply,2025-001,Kitahime,,2025,232.6776608,205.44,7.010651,44.1,39.5,41.7,4.98,0.09,9.57,12.45,27.11
