file_name,unique_id,cultivar,growing_season,year,gt_volume_ml,pred_volume_ml,chamfer_mm,precision,recall,f1,encoder_ms,latent_save_ms,decoder_ms,convex_hull_ms,exec_time_ms
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_095.png,2R3-1,Kitahime,,2023,222.1685222983116,243.09,2.037568,94.8,95.5,95.1,134.54,0.12,26.21,52.58,213.46
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_115.png,2R3-1,Kitahime,,2023,222.1685222983116,226.72,2.18135,93.7,93.3,93.5,0.96,0.05,14.65,14.45,30.1
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_136.png,2R3-1,Kitahime,,2023,222.1685222983116,228.31,2.373974,92.2,92.0,92.1,0.96,0.04,14.7,13.17,28.87
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_161.png,2R3-1,Kitahime,,2023,222.1685222983116,205.97,2.224996,94.4,93.5,94.0,0.95,0.05,14.65,11.87,27.52
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_184.png,2R3-1,Kitahime,,2023,222.1685222983116,227.64,2.168191,94.3,93.8,94.0,0.96,0.05,14.66,14.14,29.81
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_205.png,2R3-1,Kitahime,,2023,222.1685222983116,224.16,2.159119,93.4,93.0,93.2,0.96,0.05,14.67,16.98,32.66
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_227.png,2R3-1,Kitahime,,2023,222.1685222983116,225.04,1.854657,96.4,96.7,96.6,0.96,0.04,14.68,15.59,31.28
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_249.png,2R3-1,Kitahime,,2023,222.1685222983116,187.12,2.722654,89.9,87.9,88.9,0.96,0.05,14.65,9.58,25.23
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_271.png,2R3-1,Kitahime,,2023,222.1685222983116,181.91,2.922008,88.8,87.5,88.1,0.96,0.04,14.67,10.46,26.14
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_293.png,2R3-1,Kitahime,,2023,222.1685222983116,184.9,2.869666,87.0,84.7,85.9,0.95,0.04,14.66,9.21,24.85
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_317.png,2R3-1,Kitahime,,2023,222.1685222983116,192.22,2.666336,89.9,88.2,89.0,0.96,0.05,14.66,10.04,25.71
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_338.png,2R3-1,Kitahime,,2023,222.1685222983116,185.69,2.84949,87.8,85.7,86.7,0.96,0.04,14.66,10.05,25.71
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_358.png,2R3-1,Kitahime,,2023,222.1685222983116,182.28,2.930817,87.2,85.3,86.2,0.95,0.05,14.67,9.98,25.65
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_382.png,2R3-1,Kitahime,,2023,222.1685222983116,211.89,2.250539,96.3,96.7,96.5,0.94,0.04,14.73,12.13,27.85
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_403.png,2R3-1,Kitahime,,2023,222.1685222983116,207.36,2.410296,93.2,92.9,93.0,0.96,0.05,14.68,11.72,27.41
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_424.png,2R3-1,Kitahime,,2023,222.1685222983116,174.35,3.288008,82.9,79.9,81.3,0.95,0.05,14.65,9.83,25.47
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_448.png,2R3-1,Kitahime,,2023,222.1685222983116,174.54,3.23887,82.7,79.6,81.1,0.94,0.05,14.73,10.25,25.97
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_470.png,2R3-1,Kitahime,,2023,222.1685222983116,174.76,3.244515,82.9,79.4,81.1,0.95,0.05,14.64,9.63,25.27
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_491.png,2R3-1,Kitahime,,2023,222.1685222983116,201.21,2.228271,95.2,94.1,94.7,0.96,0.05,14.69,11.39,27.08
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_514.png,2R3-1,Kitahime,,2023,222.1685222983116,185.23,2.788531,89.1,86.9,88.0,0.96,0.04,14.66,10.92,26.58
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_536.png,2R3-1,Kitahime,,2023,222.1685222983116,169.56,3.374094,82.3,79.1,80.6,0.96,0.05,14.66,10.04,25.7
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_558.png,2R3-1,Kitahime,,2023,222.1685222983116,167.4,3.520947,79.0,76.1,77.5,0.96,0.05,14.66,11.53,27.19
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_579.png,2R3-1,Kitahime,,2023,222.1685222983116,166.5,3.574229,77.8,74.5,76.1,0.96,0.05,14.66,10.67,26.34
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_602.png,2R3-1,Kitahime,,2023,222.1685222983116,157.21,4.13875,64.1,59.1,61.5,0.95,0.04,14.62,9.6,25.22
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_623.png,2R3-1,Kitahime,,2023,222.1685222983116,152.17,4.474937,63.4,58.2,60.7,0.95,0.04,14.65,9.6,25.25
data/3DPotatoTwin/corepp_rgbd/2R3-1/realsense/color/2R3-1_643.png,2R3-1,Kitahime,,2023,222.1685222983116,154.53,4.331821,65.6,59.4,62.4,0.95,0.05,14.65,11.8,27.45
data/3DPotatoTwin/corepp_rgbd/2R3-10/realsense/color/2R3-10_080.png,2R3-10,Kitahime,,2023,115.02720210135452,103.56,3.356593,74.3,71.3,72.8,0.96,0.04,14.71,7.43,23.13
data/3DPotatoTwin/corepp_rgbd/2R3-10/realsense/color/2R3-10_101.png,2R3-10,Kitahime,,2023,115.02720210135452,109.72,2.568094,85.4,84.9,85.1,0.96,0.05,14.68,21.01,36.7
data/3DPotatoTwin/corepp_rgbd/2R3-10/realsense/color/2R3-10_121.png,2R3-10,Kitahime,,2023,115.02720210135452,107.32,2.686021,83.8,82.4,83.1,0.97,0.05,14.71,8.03,23.76
data/3DPotatoTwin/corepp_rgbd/2R3-10/realsense/color/2R3-10_143.png,2R3-10,Kitahime,,2023,115.02720210135452,107.53,2.695397,83.9,82.0,82.9,0.94,0.05,14.65,9.06,24.7
data/3DPotatoTwin/corepp_rgbd/2R3-10/realsense/color/2R3-10_166.png,2R3-10,Kitahime,,2023,115.02720210135452,104.05,3.215667,77.1,74.2,75.6,0.96,0.05,14.71,7.53,23.25
data/3DPotatoTwin/corepp_rgbd/2R3-10/realsense/color/2R3-10_186.png,2R3-10,Kitahime,,2023,115.02720210135452,106.84,2.952467,81.7,79.3,80.5,0.96,0.04,14.66,7.78,23.44
data/3DPotatoTwin/corepp_rgbd/2R3-10/realsense/color/2R3-10_208.png,2R3-10,Kitahime,,2023,115.02720210135452,105.2,3.352309,76.0,72.7,74.3,0.98,0.05,14.71,8.1,23.84
data/3DPotatoTwin/corepp_rgbd/2R3-10/realsense/color/2R3-10_230.png,2R3-10,Kitahime,,2023,115.02720210135452,104.97,3.1824,77.3,74.3,75.8,0.94,0.05,14.68,7.03,22.7
data/3DPotatoTwin/corepp_rgbd/2R3-10/realsense/color/2R3-10_250.png,2R3-10,Kitahime,,2023,115.02720210135452,109.91,3.070134,80.5,78.8,79.6,0.96,0.04,14.72,20.41,36.13
data/3DPotatoTwin/corepp_rgbd/2R3-10/realsense/color/2R3-10_273.png,2R3-10,Kitahime,,2023,115.02720210135452,109.32,3.060045,80.4,78.4,79.3,0.95,0.04,14.67,20.81,36.47
data/3DPotatoTwin/corepp_rgbd/2R3-10/realsense/color/2R3-10_296.png,2R3-10,Kitahime,,2023,115.02720210135452,105.75,3.27904,77.3,74.2,75.7,0.96,0.04,14.69,7.57,23.27
data/3DPotatoTwin/corepp_rgbd/2R3-10/realsense/color/2R3-10_318.png,2R3-10,Kitahime,,2023,115.02720210135452,101.67,3.41622,74.6,70.9,72.7,0.98,0.05,14.65,6.9,22.59
data/3DPotatoTwin/corepp_rgbd/2R3-10/realsense/color/2R3-10_340.png,2R3-10,Kitahime,,2023,115.02720210135452,100.37,3.40495,74.5,70.9,72.7,0.95,0.05,14.68,6.66,22.34
data/3DPotatoTwin/corepp_rgbd/2R3-10/realsense/color/2R3-10_363.png,2R3-10,Kitahime,,2023,115.02720210135452,99.29,3.569338,73.3,69.7,71.5,0.95,0.04,14.67,7.1,22.77
data/3DPotatoTwin/corepp_rgbd/2R3-10/realsense/color/2R3-10_383.png,2R3-10,Kitahime,,2023,115.02720210135452,94.93,3.668302,70.9,66.6,68.7,0.95,0.05,14.68,7.12,22.8
data/3DPotatoTwin/corepp_rgbd/2R3-10/realsense/color/2R3-10_405.png,2R3-10,Kitahime,,2023,115.02720210135452,105.39,2.889279,82.5,80.3,81.4,0.95,0.05,14.64,7.66,23.3
data/3DPotatoTwin/corepp_rgbd/2R3-10/realsense/color/2R3-10_427.png,2R3-10,Kitahime,,2023,115.02720210135452,106.3,2.930903,82.7,80.4,81.6,0.95,0.05,14.68,7.57,23.24
data/3DPotatoTwin/corepp_rgbd/2R3-10/realsense/color/2R3-10_449.png,2R3-10,Kitahime,,2023,115.02720210135452,99.42,3.086627,81.0,78.3,79.6,0.95,0.04,14.67,7.32,22.98
