file_name,unique_id,cultivar,growing_season,year,gt_volume_ml,pred_volume_ml,chamfer_mm,precision,recall,f1,encoder_ms,latent_save_ms,decoder_ms,convex_hull_ms,exec_time_ms
data/3DPotatoTwin/corepp_rgbd/2025-000/realsense/color/2025-000_065.png,2025-000,Kitahime,,2025,155.1429522,91.63,5.47815,55.6,41.8,47.7,129.16,0.11,26.7,146.2,302.18
data/3DPotatoTwin/corepp_rgbd/2025-000/realsense/color/2025-000_081.png,2025-000,Kitahime,,2025,155.1429522,88.42,5.704931,52.5,38.5,44.4,0.96,0.05,14.65,7.52,23.18
data/3DPotatoTwin/corepp_rgbd/2025-000/realsense/color/2025-000_097.png,2025-000,Kitahime,,2025,155.1429522,85.31,5.971737,53.3,38.0,44.3,0.96,0.05,14.7,6.58,22.28
data/3DPotatoTwin/corepp_rgbd/2025-000/realsense/color/2025-000_111.png,2025-000,Kitahime,,2025,155.1429522,90.08,5.606921,54.3,40.1,46.1,0.96,0.04,14.67,6.66,22.33
data/3DPotatoTwin/corepp_rgbd/2025-000/realsense/color/2025-000_127.png,2025-000,Kitahime,,2025,155.1429522,86.87,5.827742,52.2,38.0,44.0,0.95,0.04,14.67,7.0,22.66
data/3DPotatoTwin/corepp_rgbd/2025-000/realsense/color/2025-000_144.png,2025-000,Kitahime,,2025,155.1429522,85.88,5.951071,51.0,36.4,42.4,0.95,0.05,14.64,8.1,23.73
data/3DPotatoTwin/corepp_rgbd/2025-000/realsense/color/2025-000_158.png,2025-000,Kitahime,,2025,155.1429522,89.33,5.629466,55.8,40.9,47.2,0.95,0.04,14.67,7.41,23.07
data/3DPotatoTwin/corepp_rgbd/2025-000/realsense/color/2025-000_172.png,2025-000,Kitahime,,2025,155.1429522,84.76,5.983642,49.1,35.5,41.2,0.96,0.04,14.67,7.85,23.52
data/3DPotatoTwin/corepp_rgbd/2025-000/realsense/color/2025-000_188.png,2025-000,Kitahime,,2025,155.1429522,84.49,6.046071,50.0,35.7,41.7,0.96,0.06,14.68,9.86,25.56
data/3DPotatoTwin/corepp_rgbd/2025-000/realsense/color/2025-000_204.png,2025-000,Kitahime,,2025,155.1429522,89.6,5.642554,54.0,39.8,45.8,0.95,0.05,14.68,7.96,23.64
data/3DPotatoTwin/corepp_rgbd/2025-000/realsense/color/2025-000_217.png,2025-000,Kitahime,,2025,155.1429522,86.48,5.85749,50.5,36.9,42.7,0.95,0.05,14.7,7.85,23.55
