Epoch 001/100 | train 0.18367 (mse=0.18303) | val 0.08812 (mse=0.08800) | 23.6s
  Saved best model (val 0.08812)
Epoch 002/100 | train 0.13212 (mse=0.13159) | val 0.08166 (mse=0.08154) | 17.7s
  Saved best model (val 0.08166)
Epoch 003/100 | train 0.10997 (mse=0.10951) | val 0.06741 (mse=0.06722) | 17.6s
  Saved best model (val 0.06741)
Epoch 004/100 | train 0.09489 (mse=0.09447) | val 0.06507 (mse=0.06483) | 17.9s
  Saved best model (val 0.06507)
Epoch 005/100 | train 0.08498 (mse=0.08459) | val 0.06287 (mse=0.06264) | 17.7s
  Saved best model (val 0.06287)
Epoch 006/100 | train 0.07835 (mse=0.07799) | val 0.06217 (mse=0.06194) | 18.0s
  Saved best model (val 0.06217)
Epoch 007/100 | train 0.07428 (mse=0.07392) | val 0.06111 (mse=0.06084) | 18.0s
  Saved best model (val 0.06111)
Epoch 008/100 | train 0.07129 (mse=0.07093) | val 0.06272 (mse=0.06249) | 18.0s
Epoch 009/100 | train 0.06865 (mse=0.06831) | val 0.06525 (mse=0.06504) | 17.9s
Epoch 010/100 | train 0.06671 (mse=0.06637) | val 0.05961 (mse=0.05930) | 17.7s
  Saved best model (val 0.05961)
Epoch 011/100 | train 0.06444 (mse=0.06410) | val 0.06103 (mse=0.06077) | 17.8s
Epoch 012/100 | train 0.06345 (mse=0.06310) | val 0.05998 (mse=0.05971) | 17.9s
Epoch 013/100 | train 0.06167 (mse=0.06133) | val 0.05979 (mse=0.05947) | 17.6s
Epoch 014/100 | train 0.06050 (mse=0.06016) | val 0.06300 (mse=0.06271) | 17.8s
Epoch 015/100 | train 0.05928 (mse=0.05894) | val 0.05958 (mse=0.05927) | 17.8s
  Saved best model (val 0.05958)
Epoch 016/100 | train 0.05818 (mse=0.05784) | val 0.06204 (mse=0.06167) | 17.8s
Epoch 017/100 | train 0.05773 (mse=0.05739) | val 0.05986 (mse=0.05952) | 17.9s
Epoch 018/100 | train 0.05762 (mse=0.05728) | val 0.06605 (mse=0.06567) | 17.9s
Epoch 019/100 | train 0.05684 (mse=0.05650) | val 0.06683 (mse=0.06655) | 17.7s
Epoch 020/100 | train 0.05653 (mse=0.05619) | val 0.06229 (mse=0.06191) | 17.8s
Epoch 021/100 | train 0.05614 (mse=0.05580) | val 0.05982 (mse=0.05946) | 18.0s
Epoch 022/100 | train 0.05593 (mse=0.05559) | val 0.06337 (mse=0.06303) | 17.9s
Epoch 023/100 | train 0.05551 (mse=0.05517) | val 0.06245 (mse=0.06209) | 18.0s
Epoch 024/100 | train 0.05540 (mse=0.05506) | val 0.06149 (mse=0.06113) | 17.9s
Epoch 025/100 | train 0.05507 (mse=0.05473) | val 0.06214 (mse=0.06182) | 18.1s
Epoch 026/100 | train 0.05503 (mse=0.05469) | val 0.06671 (mse=0.06636) | 17.7s
Epoch 027/100 | train 0.05469 (mse=0.05435) | val 0.06768 (mse=0.06731) | 18.1s
Epoch 028/100 | train 0.05460 (mse=0.05426) | val 0.06661 (mse=0.06631) | 17.9s
Epoch 029/100 | train 0.05443 (mse=0.05409) | val 0.06808 (mse=0.06771) | 17.6s
Epoch 030/100 | train 0.05436 (mse=0.05402) | val 0.07163 (mse=0.07131) | 18.0s
Epoch 031/100 | train 0.05430 (mse=0.05396) | val 0.06908 (mse=0.06878) | 17.6s
Epoch 032/100 | train 0.05409 (mse=0.05375) | val 0.06511 (mse=0.06477) | 17.8s
Epoch 033/100 | train 0.05411 (mse=0.05377) | val 0.06958 (mse=0.06921) | 17.6s
Epoch 034/100 | train 0.05389 (mse=0.05355) | val 0.06896 (mse=0.06860) | 18.0s
Epoch 035/100 | train 0.05391 (mse=0.05357) | val 0.06828 (mse=0.06791) | 17.9s
Epoch 036/100 | train 0.05386 (mse=0.05352) | val 0.06489 (mse=0.06447) | 18.1s
Epoch 037/100 | train 0.05380 (mse=0.05346) | val 0.06479 (mse=0.06444) | 17.9s
Epoch 038/100 | train 0.05367 (mse=0.05332) | val 0.06965 (mse=0.06924) | 17.9s
Epoch 039/100 | train 0.05368 (mse=0.05334) | val 0.06671 (mse=0.06632) | 18.0s
Epoch 040/100 | train 0.05354 (mse=0.05320) | val 0.06526 (mse=0.06491) | 17.8s
Epoch 041/100 | train 0.05353 (mse=0.05319) | val 0.07043 (mse=0.07007) | 17.8s
Epoch 042/100 | train 0.05348 (mse=0.05314) | val 0.06864 (mse=0.06824) | 18.0s
Epoch 043/100 | train 0.05342 (mse=0.05307) | val 0.07085 (mse=0.07049) | 17.7s
Epoch 044/100 | train 0.05334 (mse=0.05299) | val 0.06816 (mse=0.06780) | 17.7s
Epoch 045/100 | train 0.05336 (mse=0.05302) | val 0.06850 (mse=0.06813) | 16.4s
Epoch 046/100 | train 0.05320 (mse=0.05286) | val 0.07055 (mse=0.07018) | 16.4s
Epoch 047/100 | train 0.05308 (mse=0.05274) | val 0.07109 (mse=0.07075) | 18.2s
Epoch 048/100 | train 0.05309 (mse=0.05275) | val 0.07140 (mse=0.07104) | 18.0s
Epoch 049/100 | train 0.05313 (mse=0.05279) | val 0.06763 (mse=0.06724) | 17.7s
Epoch 050/100 | train 0.05303 (mse=0.05269) | val 0.06874 (mse=0.06835) | 17.3s
Epoch 051/100 | train 0.05310 (mse=0.05275) | val 0.06624 (mse=0.06588) | 18.0s
Epoch 052/100 | train 0.05303 (mse=0.05269) | val 0.06416 (mse=0.06382) | 17.8s
Epoch 053/100 | train 0.05294 (mse=0.05260) | val 0.06663 (mse=0.06627) | 17.8s
Epoch 054/100 | train 0.05280 (mse=0.05246) | val 0.06964 (mse=0.06931) | 17.5s
Epoch 055/100 | train 0.05288 (mse=0.05253) | val 0.06735 (mse=0.06699) | 17.8s
Epoch 056/100 | train 0.05286 (mse=0.05252) | val 0.06833 (mse=0.06800) | 17.9s
Epoch 057/100 | train 0.05277 (mse=0.05243) | val 0.06853 (mse=0.06818) | 17.9s
Epoch 058/100 | train 0.05273 (mse=0.05238) | val 0.06686 (mse=0.06649) | 17.9s
Epoch 059/100 | train 0.05277 (mse=0.05242) | val 0.07012 (mse=0.06976) | 17.9s
Epoch 060/100 | train 0.05266 (mse=0.05231) | val 0.06786 (mse=0.06748) | 17.8s
Epoch 061/100 | train 0.05270 (mse=0.05235) | val 0.06706 (mse=0.06670) | 17.7s
Epoch 062/100 | train 0.05268 (mse=0.05233) | val 0.06592 (mse=0.06558) | 17.7s
Epoch 063/100 | train 0.05265 (mse=0.05231) | val 0.06571 (mse=0.06536) | 17.7s
Epoch 064/100 | train 0.05258 (mse=0.05223) | val 0.06550 (mse=0.06518) | 17.2s
Epoch 065/100 | train 0.05252 (mse=0.05217) | val 0.06510 (mse=0.06475) | 16.8s
Epoch 066/100 | train 0.05268 (mse=0.05233) | val 0.06391 (mse=0.06355) | 17.4s
Epoch 067/100 | train 0.05255 (mse=0.05220) | val 0.06385 (mse=0.06350) | 17.3s
Epoch 068/100 | train 0.05244 (mse=0.05209) | val 0.06728 (mse=0.06698) | 16.9s
Epoch 069/100 | train 0.05251 (mse=0.05216) | val 0.06715 (mse=0.06684) | 17.2s
Epoch 070/100 | train 0.05241 (mse=0.05207) | val 0.07132 (mse=0.07100) | 17.1s
Epoch 071/100 | train 0.05243 (mse=0.05208) | val 0.06604 (mse=0.06572) | 16.6s
Epoch 072/100 | train 0.05225 (mse=0.05191) | val 0.06609 (mse=0.06576) | 16.1s
Epoch 073/100 | train 0.05243 (mse=0.05209) | val 0.06699 (mse=0.06665) | 16.2s
Epoch 074/100 | train 0.05237 (mse=0.05202) | val 0.06436 (mse=0.06405) | 15.8s
Epoch 075/100 | train 0.05224 (mse=0.05189) | val 0.06101 (mse=0.06070) | 16.0s
Epoch 076/100 | train 0.05232 (mse=0.05197) | val 0.06266 (mse=0.06232) | 16.6s
Epoch 077/100 | train 0.05228 (mse=0.05193) | val 0.06290 (mse=0.06258) | 15.7s
Epoch 078/100 | train 0.05227 (mse=0.05192) | val 0.06449 (mse=0.06416) | 16.4s
Epoch 079/100 | train 0.05220 (mse=0.05186) | val 0.06382 (mse=0.06349) | 16.4s
Epoch 080/100 | train 0.05211 (mse=0.05177) | val 0.06503 (mse=0.06469) | 16.3s
Epoch 081/100 | train 0.05219 (mse=0.05185) | val 0.06357 (mse=0.06321) | 16.1s
Epoch 082/100 | train 0.05217 (mse=0.05182) | val 0.06741 (mse=0.06710) | 17.0s
Epoch 083/100 | train 0.05217 (mse=0.05182) | val 0.06631 (mse=0.06600) | 15.7s
Epoch 084/100 | train 0.05207 (mse=0.05173) | val 0.06553 (mse=0.06521) | 16.5s
Epoch 085/100 | train 0.05211 (mse=0.05176) | val 0.06631 (mse=0.06599) | 16.5s
Epoch 086/100 | train 0.05204 (mse=0.05169) | val 0.06446 (mse=0.06416) | 16.5s
Epoch 087/100 | train 0.05200 (mse=0.05166) | val 0.06453 (mse=0.06421) | 16.4s
Epoch 088/100 | train 0.05204 (mse=0.05169) | val 0.06628 (mse=0.06595) | 16.5s
Epoch 089/100 | train 0.05190 (mse=0.05155) | val 0.06508 (mse=0.06477) | 16.7s
Epoch 090/100 | train 0.05198 (mse=0.05163) | val 0.06583 (mse=0.06552) | 16.8s
Epoch 091/100 | train 0.05194 (mse=0.05159) | val 0.06438 (mse=0.06406) | 16.7s
Epoch 092/100 | train 0.05191 (mse=0.05156) | val 0.06591 (mse=0.06558) | 16.8s
Epoch 093/100 | train 0.05196 (mse=0.05161) | val 0.06549 (mse=0.06518) | 16.7s
Epoch 094/100 | train 0.05199 (mse=0.05164) | val 0.06356 (mse=0.06323) | 15.9s
